==================== 2026-06-13T16:29:58.769940Z | 00000000-0000-0000-0000-000000000000 ====================
==================== 2026-06-13T16:29:58.780984Z | 41991b50-9e94-4800-92ec-cd3c67632eb6 ====================
16:29:58.781696 [info ]: Starting dbt LSP server
16:29:58.782925 [info ]: Connecting to LSP client on port 8000
16:29:58.788644 [info ]: Successfully connected to LSP client
16:29:58.789091 [info ]: Creating LSP service...
16:29:58.908138 [info ]: Creating LSP server...
16:29:58.908163 [info ]: Starting LSP server...
16:29:59.007002 [info ]: Loading profiles.yml
16:30:36.494966 [info ]: Loading profiles.yml
16:30:45.782893 [info ]: Loading profiles.yml
16:30:52.007778 [info ]: Loading profiles.yml
16:31:09.801822 [info ]: Loading profiles.yml
16:31:36.526030 [info ]: Loading profiles.yml
16:32:05.150768 [info ]: Loading profiles.yml
16:32:18.305753 [info ]: Loading profiles.yml
16:32:45.365480 [info ]: Loading profiles.yml
16:33:00.438967 [info ]: Loading profiles.yml
16:33:00.970213 [info ]: Loading profiles.yml
16:33:47.412293 [info ]: Loading profiles.yml
16:33:54.893054 [info ]: Loading profiles.yml
16:34:12.102322 [info ]: Loading profiles.yml
16:34:14.745613 [info ]: Loading profiles.yml
16:35:02.595648 [info ]: Loading profiles.yml
16:35:15.065687 [info ]: Loading profiles.yml
16:35:18.134871 [info ]: Loading profiles.yml
16:35:19.120353 [info ]: Loading profiles.yml
16:35:21.471002 [info ]: Loading profiles.yml
16:35:25.263205 [info ]: Loading profiles.yml
16:35:25.766821 [info ]: Loading profiles.yml
16:50:04.866634 [info ]: Loading profiles.yml
16:50:32.849563 [info ]: Loading profiles.yml
16:50:47.843064 [info ]: Loading profiles.yml
17:58:58.776858 [info ]: Loading profiles.yml
17:59:00.259810 [info ]: Loading profiles.yml
17:59:00.626264 [info ]: Loading profiles.yml
18:02:25.622539 [info ]: Loading profiles.yml
18:02:26.271023 [info ]: Loading profiles.yml
18:02:26.746924 [info ]: Loading profiles.yml
18:05:26.286136 [info ]: Loading profiles.yml
18:05:26.847832 [info ]: Loading profiles.yml
18:05:27.270525 [info ]: Loading profiles.yml
18:06:20.011819 [info ]: Loading profiles.yml
18:06:49.025704 [info ]: Loading profiles.yml
18:06:57.135503 [info ]: Loading profiles.yml
18:07:49.624138 [info ]: Loading profiles.yml
18:08:29.142315 [info ]: Loading profiles.yml
18:08:29.806589 [info ]: Loading profiles.yml
18:08:30.250366 [info ]: Loading profiles.yml
18:08:39.559957 [info ]: Loading profiles.yml
18:08:45.217461 [info ]: Loading profiles.yml
18:08:46.946681 [info ]: Loading profiles.yml
18:08:48.775926 [info ]: Loading profiles.yml
18:08:52.995903 [info ]: Loading profiles.yml
18:09:02.230541 [info ]: Loading profiles.yml
18:09:05.441762 [info ]: Loading profiles.yml
18:09:11.542958 [info ]: Loading profiles.yml
18:09:18.616558 [info ]: Loading profiles.yml
18:09:20.142324 [info ]: Loading profiles.yml
18:09:21.087673 [info ]: Loading profiles.yml
18:09:23.018187 [info ]: Loading profiles.yml
18:11:10.803609 [info ]: Loading profiles.yml
18:11:15.959944 [info ]: Loading profiles.yml
18:11:24.518907 [info ]: Loading profiles.yml
18:11:25.811352 [info ]: Loading profiles.yml
18:11:26.979068 [info ]: Loading profiles.yml
18:11:29.175723 [info ]: Loading profiles.yml
18:13:17.456811 [info ]: Loading profiles.yml
18:13:18.033710 [info ]: Loading profiles.yml
18:13:18.483968 [info ]: Loading profiles.yml
18:16:13.234696 [info ]: Loading profiles.yml
18:16:17.994831 [info ]: Loading profiles.yml
18:16:18.589350 [info ]: Loading profiles.yml
18:16:19.006455 [info ]: Loading profiles.yml
18:16:24.435043 [info ]: Loading profiles.yml
18:16:25.310833 [info ]: Loading profiles.yml
18:16:26.615273 [info ]: Loading profiles.yml
18:16:27.365455 [info ]: Loading profiles.yml
18:16:29.629478 [info ]: Loading profiles.yml
18:19:24.165413 [info ]: Loading profiles.yml
18:19:24.745638 [info ]: Loading profiles.yml
18:19:25.191894 [info ]: Loading profiles.yml
18:19:40.745125 [info ]: Loading profiles.yml
18:20:03.956255 [info ]: Loading profiles.yml
18:20:04.757213 [info ]: Loading profiles.yml
18:20:06.200758 [info ]: Loading profiles.yml
18:20:06.949395 [info ]: Loading profiles.yml
18:20:08.816025 [info ]: Loading profiles.yml
18:20:52.803752 [info ]: Loading profiles.yml
18:21:01.895621 [info ]: Loading profiles.yml
18:21:02.522554 [info ]: Loading profiles.yml
18:22:24.708814 [info ]: Loading profiles.yml
18:22:25.330907 [info ]: Loading profiles.yml
18:22:25.739116 [info ]: Loading profiles.yml
